,Name,Address,City,Zip,State
85,Gregory Road Data Center,Gregory Road,Covington,30014,Georgia
86,"Project Bunkhouse is an ambitious data center campus planned for Stilesboro, Georgia, approximately 60 kilometers northwest of downtown Atlanta. The campus will span an impressive 8.6 million square feet across 755 acres of largely undeveloped land.",10835 Hazelbrand Rd NE,Covington,30014,Georgia
87,LN Compute,50 Industrial Blvd,Cuthbert,39840,Georgia
88,CleanSpark Dalton 1,1022 Enterprise Dr,Dalton,30721,Georgia
89,CleanSpark Dalton 2,1850 Abutment Rd,Dalton,30721,Georgia
90,Core Scientific Dalton,2205 Industrial South Rd,Dalton,30721,Georgia
91,7800 W Strickland St,7800 W Strickland St,Douglasville,30134,Georgia
92,Flexential Atlanta - Douglasville 1 Data Center,1700 N. River Rd,Douglasville,30122,Georgia
93,Flexential Atlanta - Douglasville 2 Data Center,1750 N. River Rd.,Douglasville,30122,Georgia
94,7015 Adams Park Rd,7015 Adams Park Rd,Dry Branch,31020,Georgia
95,4350 E Tanners Church Rd,4350 E Tanners Church Rd,Ellenwood,30294,Georgia
96,T5 Data Centers - T5@Atlanta IV,"within Gullatt Road, Fairburn, Georgia",Fairburn,30268,Georgia
97,1435 Hwy 54 W,1435 Hwy 54 W,Fayetteville,30214,Georgia
98,"Project Rita is a proposed data center campus in Tyrone, Georgia, encompassing two one-story buildings with a combined capacity of 96MW. The development spans 145.5 acres and includes an on-site substation.",1435 Hwy 54 W,Fayetteville,30214,Georgia
99,QTS Atlanta-Fayetteville,1435 Hwy 54 W,Fayetteville,30214,Georgia
100,QTS Atlanta-Fayetteville DC11,1435 Hwy 54 W,Fayetteville,30214,Georgia
101,QTS Atlanta-Fayetteville DC13,1435 Hwy 54 W,Fayetteville,30214,Georgia
102,QTS Atlanta-Fayetteville DC16,Veterans Pkwy,Fayetteville,30214,Georgia
103,QTS Atlanta-Fayetteville DC7,1435 Hwy 54 W,Fayetteville,30214,Georgia
104,QTS Atlanta-Fayetteville DC9,1435 Hwy 54 W,Fayetteville,30214,Georgia
